episode,type,classification,surface_spawns,air_spawns,top_spawns,unknown_spawns,levels,link_ids,conflict
1,1,air,0,1,0,0,1,142,0
1,3,air,0,60,0,0,2,,0
1,4,,10,30,97,0,5,1;2;3;4;5;6;7;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39,1
1,5,,3,145,52,0,5,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;31;32;33;34;35,1
1,6,surface,12,0,0,0,2,1;3;4;6;8;10;13;15;16;18,0
1,7,surface,12,0,0,0,2,1;3;4;6;8;10;13;15;16;18,0
1,8,surface,23,0,12,0,4,1;2;3;5;7;9;11;12;14;17;19;61,0
1,9,surface,23,0,12,0,4,1;2;3;5;7;9;11;12;14;17;19;61,0
1,10,,8,25,27,0,5,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17,1
1,11,,5,12,63,0,3,,1
1,12,air,0,25,22,0,4,1;3;5;6;7;8;9;10;11;13;15;16;17;18;19;41,0
1,13,surface,11,0,17,0,5,2;4;6;8;9;41,0
1,14,surface,11,0,17,0,5,2;4;6;8;9;41,0
1,15,,0,0,20,0,2,1;2;3;4;5;6;7;8;14,0
1,16,surface,35,0,0,0,1,1;2;3;4;5;6;7;8;9;10;11;12;13,0
1,17,,19,12,6,0,4,1;2;3;5;6;7;10;11;12;13;14;15;18;19;20;21;81,1
1,18,surface,4,0,0,0,2,7;9,0
1,19,surface,22,0,0,0,2,7;9,0
1,20,surface,4,0,0,0,2,7;9,0
1,21,surface,4,0,0,0,2,8;10,0
1,22,surface,28,0,0,0,2,8;10,0
1,23,surface,4,0,0,0,2,8;10,0
1,24,air,0,21,6,0,4,1;2;3;4;7;9;10;11;12;13;14;20;22,0
1,25,air,0,20,6,0,4,2;3;4;5;6;15;16;17;18;19;21;23,0
1,26,,0,0,12,0,3,1;2;3;4;11;12;32,0
1,27,,0,0,6,0,2,2;3;12;13;33,0
1,28,,6,18,12,0,3,,1
1,29,,6,18,12,0,3,,1
1,30,,8,36,24,0,5,41;61;81;143;163;182,1
1,31,,4,12,12,0,5,1;10;11;42;62;82;149;169;189,1
1,32,,0,0,20,0,2,,0
1,33,,0,0,14,0,2,,0
1,34,,0,0,20,0,2,,0
1,35,,0,0,20,0,2,,0
1,36,,0,0,14,0,2,,0
1,37,,0,0,20,0,2,,0
1,38,,0,0,4,0,2,,0
1,39,,0,0,4,0,2,,0
1,40,,0,0,30,0,2,,0
1,41,,0,0,4,0,2,,0
1,42,,0,0,2,0,2,31,0
1,43,,0,0,2,0,2,31,0
1,44,,0,0,2,0,2,31,0
1,45,,0,0,2,0,2,31,0
1,46,air,0,5,0,0,4,142,0
1,47,air,0,5,0,0,4,142,0
1,48,air,0,5,0,0,4,142,0
1,49,air,0,5,0,0,4,142,0
1,50,air,0,5,0,0,4,142,0
1,51,air,0,5,0,0,4,142,0
1,52,air,0,5,0,0,4,142,0
1,53,air,0,4,0,0,3,142,0
