episode,section,level,time,event_type,d1,d2,d3,d4,d5,d6
1,4,9,0,2,1,2,0,0,0,0
1,4,9,0,5,1,2,9,20,0,0
1,4,9,0,8,0,0,0,0,0,0
1,4,9,0,13,0,0,0,0,0,0
1,4,9,0,28,0,0,0,0,0,0
1,4,9,100,15,10,10,2,1,0,0
1,4,9,100,45,628,0,0,1,0,0
1,4,9,110,15,10,10,2,2,0,0
1,4,9,120,15,10,10,2,3,0,0
1,4,9,130,15,10,10,2,4,0,0
1,4,9,132,12,121,42,0,20,0,0
1,4,9,132,12,125,114,0,21,0,0
1,4,9,140,15,10,10,2,5,0,0
1,4,9,140,45,607,0,0,5,0,0
1,4,9,140,60,1,1,0,5,0,0
1,4,9,160,20,12,-6,0,1,0,0
1,4,9,160,33,534,0,0,1,0,0
1,4,9,170,20,12,-6,0,2,0,0
1,4,9,180,20,12,-6,0,3,0,0
1,4,9,190,20,12,-6,0,4,0,0
1,4,9,200,15,12,240,2,6,0,0
1,4,9,200,20,12,-6,0,5,0,0
1,4,9,200,45,612,0,0,6,0,0
1,4,9,210,15,12,240,2,7,0,0
1,4,9,216,12,121,234,0,22,0,0
1,4,9,220,15,12,240,2,8,0,0
1,4,9,230,15,12,240,2,9,0,0
1,4,9,240,15,12,240,2,10,0,0
1,4,9,240,33,393,0,0,10,0,0
1,4,9,241,61,1,0,1,0,0,0
1,4,9,242,60,2,1,0,10,0,0
1,4,9,260,20,-12,-6,0,6,0,0
1,4,9,270,20,-12,-6,0,7,0,0
1,4,9,280,20,-12,-6,0,8,0,0
1,4,9,290,20,-12,-6,0,9,0,0
1,4,9,300,15,10,100,2,1,0,0
1,4,9,300,20,-12,-6,0,10,0,0
1,4,9,300,45,625,0,0,1,0,0
1,4,9,310,15,10,100,2,2,0,0
1,4,9,320,15,10,100,2,3,0,0
1,4,9,330,15,10,100,2,4,0,0
1,4,9,340,15,10,100,2,5,0,0
1,4,9,340,33,393,0,0,5,0,0
1,4,9,340,45,628,0,0,5,0,0
1,4,9,341,61,2,0,1,0,0,0
1,4,9,342,60,3,1,0,5,0,0
1,4,9,356,12,125,234,0,23,0,0
1,4,9,360,20,12,-6,0,1,0,0
1,4,9,370,20,12,-6,0,2,0,0
1,4,9,380,20,12,-6,0,3,0,0
1,4,9,384,12,121,138,0,24,0,0
1,4,9,390,20,12,-6,0,4,0,0
1,4,9,400,15,12,160,2,6,0,0
1,4,9,400,20,12,-6,0,5,0,0
1,4,9,400,45,608,0,0,6,0,0
1,4,9,410,15,12,160,2,7,0,0
1,4,9,420,15,12,160,2,8,0,0
1,4,9,430,15,12,160,2,9,0,0
1,4,9,440,15,12,160,2,10,0,0
1,4,9,440,33,393,0,0,10,0,0
1,4,9,440,45,628,0,0,10,0,0
1,4,9,441,61,3,0,1,0,0,0
1,4,9,442,60,4,1,0,10,0,0
1,4,9,460,20,-12,-6,0,6,0,0
1,4,9,470,20,-12,-6,0,7,0,0
1,4,9,480,20,-12,-6,0,8,0,0
1,4,9,490,20,-12,-6,0,9,0,0
1,4,9,500,20,-12,-6,0,10,0,0
1,4,9,524,12,121,186,0,25,0,0
1,4,9,600,15,5,20,6,11,0,0
1,4,9,600,45,628,0,0,11,0,0
1,4,9,608,12,121,114,0,26,0,0
1,4,9,615,15,5,20,6,12,0,0
1,4,9,615,20,5,-5,0,11,0,0
1,4,9,630,15,5,20,6,13,0,0
1,4,9,630,20,5,-5,0,12,0,0
1,4,9,645,15,5,20,6,14,0,0
1,4,9,645,20,5,-5,0,13,0,0
1,4,9,645,20,-5,-5,0,11,0,0
1,4,9,660,15,5,20,6,15,0,0
1,4,9,660,20,5,-5,0,14,0,0
1,4,9,660,20,-5,-5,0,12,0,0
1,4,9,660,45,628,0,0,15,0,0
1,4,9,664,12,125,234,0,27,0,0
1,4,9,675,20,5,-5,0,15,0,0
1,4,9,675,20,-5,-5,0,13,0,0
1,4,9,675,20,-5,5,0,11,0,0
1,4,9,690,20,-5,-5,0,14,0,0
1,4,9,690,20,-5,5,0,12,0,0
1,4,9,700,15,5,220,6,16,0,0
1,4,9,700,33,513,0,0,16,0,0
1,4,9,700,45,628,0,0,16,0,0
1,4,9,705,20,-5,-5,0,15,0,0
1,4,9,705,20,-5,5,0,13,0,0
1,4,9,705,20,5,5,0,11,0,0
1,4,9,715,15,5,220,6,17,0,0
1,4,9,715,20,-7,-5,0,16,0,0
1,4,9,720,20,5,5,0,12,0,0
1,4,9,720,20,-5,5,0,14,0,0
1,4,9,730,15,5,220,6,18,0,0
1,4,9,730,20,-7,-5,0,17,0,0
1,4,9,735,20,5,5,0,13,0,0
1,4,9,735,20,-5,5,0,15,0,0
1,4,9,745,15,5,220,6,19,0,0
1,4,9,745,20,-7,-5,0,18,0,0
1,4,9,745,20,7,-5,0,16,0,0
1,4,9,750,20,5,5,0,14,0,0
1,4,9,760,15,5,220,6,10,0,0
1,4,9,760,20,-7,-5,0,19,0,0
1,4,9,760,20,7,-5,0,17,0,0
1,4,9,765,20,5,5,0,15,0,0
1,4,9,775,20,-7,-5,0,10,0,0
1,4,9,775,20,7,-5,0,18,0,0
1,4,9,775,20,7,5,0,16,0,0
1,4,9,790,20,7,-5,0,19,0,0
1,4,9,790,20,7,5,0,17,0,0
1,4,9,805,20,7,-5,0,10,0,0
1,4,9,805,20,7,5,0,18,0,0
1,4,9,805,20,-7,5,0,16,0,0
1,4,9,820,20,7,5,0,19,0,0
1,4,9,820,20,-7,5,0,17,0,0
1,4,9,835,20,7,5,0,10,0,0
1,4,9,835,20,-7,5,0,18,0,0
1,4,9,850,20,-7,5,0,19,0,0
1,4,9,865,20,-7,5,0,10,0,0
1,4,9,870,6,13,40,3,4,-16,0
1,4,9,870,6,14,64,3,4,-16,0
1,4,9,870,10,8,40,3,3,0,0
1,4,9,870,10,9,64,3,3,0,0
1,4,9,916,12,121,66,0,28,0,0
1,4,9,920,6,13,120,3,6,-16,0
1,4,9,920,6,14,144,3,6,-16,0
1,4,9,920,10,8,120,3,5,0,0
1,4,9,920,10,9,144,3,5,0,0
1,4,9,970,6,13,180,1,2,-16,0
1,4,9,970,6,14,204,1,2,-16,0
1,4,9,970,10,8,180,1,1,0,0
1,4,9,970,10,9,204,1,1,0,0
1,4,9,970,33,392,0,0,2,0,0
1,4,9,1000,2,1,2,3,0,0,0
1,4,9,1000,6,7,164,1,4,-16,0
1,4,9,1000,6,6,220,1,6,-16,0
1,4,9,1000,6,7,244,1,6,-16,0
1,4,9,1000,6,6,140,1,4,-16,0
1,4,9,1000,10,9,244,1,5,0,0
1,4,9,1000,10,8,140,1,3,0,0
1,4,9,1000,10,9,164,1,3,0,0
1,4,9,1000,10,8,220,1,5,0,0
1,4,9,1000,33,392,0,0,4,0,0
1,4,9,1010,33,392,0,0,6,0,0
1,4,9,1050,19,0,-1,0,2,0,0
1,4,9,1055,19,0,-2,0,2,0,0
1,4,9,1060,19,0,-1,0,2,0,0
1,4,9,1060,19,0,-1,0,1,0,0
1,4,9,1065,19,0,0,0,2,0,0
1,4,9,1065,19,0,-2,0,1,0,0
1,4,9,1077,19,0,-1,0,2,0,0
1,4,9,1077,19,0,-1,0,1,0,0
1,4,9,1080,19,0,-1,0,6,0,0
1,4,9,1080,19,0,-1,0,4,0,0
1,4,9,1085,19,0,-2,0,6,0,0
1,4,9,1085,19,0,-2,0,4,0,0
1,4,9,1090,19,0,-1,0,3,0,0
1,4,9,1090,19,0,-1,0,5,0,0
1,4,9,1090,19,0,-1,0,6,0,0
1,4,9,1090,19,0,-1,0,4,0,0
1,4,9,1095,19,0,-2,0,3,0,0
1,4,9,1095,19,0,-2,0,5,0,0
1,4,9,1095,19,0,0,0,6,0,0
1,4,9,1095,19,0,0,0,4,0,0
1,4,9,1100,15,5,20,6,11,0,0
1,4,9,1100,19,0,-2,0,2,0,0
1,4,9,1100,19,0,-2,0,1,0,0
1,4,9,1107,19,0,-1,0,3,0,0
1,4,9,1107,19,0,-1,0,5,0,0
1,4,9,1107,19,0,-1,0,6,0,0
1,4,9,1107,19,0,-1,0,4,0,0
1,4,9,1115,15,5,20,6,12,0,0
1,4,9,1115,20,5,-5,0,11,0,0
1,4,9,1130,15,5,20,6,13,0,0
1,4,9,1130,19,0,-2,0,3,0,0
1,4,9,1130,19,0,-2,0,5,0,0
1,4,9,1130,19,0,-2,0,6,0,0
1,4,9,1130,19,0,-2,0,4,0,0
1,4,9,1130,20,5,-5,0,12,0,0
1,4,9,1130,45,628,0,0,13,0,0
1,4,9,1145,15,5,20,6,14,0,0
1,4,9,1145,20,5,-5,0,13,0,0
1,4,9,1145,20,-5,5,0,11,0,0
1,4,9,1160,15,5,20,6,15,0,0
1,4,9,1160,20,5,-5,0,14,0,0
1,4,9,1160,20,-5,5,0,12,0,0
1,4,9,1175,20,5,-5,0,15,0,0
1,4,9,1175,20,-5,5,0,13,0,0
1,4,9,1175,20,5,-5,0,11,0,0
1,4,9,1190,20,-5,5,0,14,0,0
1,4,9,1190,20,5,-5,0,12,0,0
1,4,9,1205,20,-5,5,0,15,0,0
1,4,9,1205,20,5,-5,0,13,0,0
1,4,9,1220,20,5,-5,0,14,0,0
1,4,9,1235,20,5,-5,0,15,0,0
1,4,9,1300,6,17,150,1,0,0,0
1,4,9,1308,6,517,234,0,29,-28,0
1,4,9,1308,6,518,258,0,29,-28,0
1,4,9,1308,6,519,210,0,29,0,0
1,4,9,1308,6,520,234,0,29,0,0
1,4,9,1308,6,521,258,0,29,0,0
1,4,9,1308,6,516,210,0,29,-28,0
1,4,9,1310,6,17,100,1,0,0,0
1,4,9,1310,6,17,200,1,0,0,0
1,4,9,1320,6,17,50,1,0,0,0
1,4,9,1320,6,17,250,1,0,0,0
1,4,9,1380,15,24,-10,0,0,0,0
1,4,9,1410,15,25,290,0,0,0,0
1,4,9,1440,15,24,-10,0,0,0,0
1,4,9,1557,6,31,90,1,82,0,0
1,4,9,1557,45,623,0,0,82,0,0
1,4,9,1568,6,30,90,1,81,0,0
1,4,9,1568,6,28,78,1,0,0,0
1,4,9,1568,6,29,102,1,0,0,0
1,4,9,1568,33,391,0,0,81,0,0
1,4,9,1579,6,30,90,1,81,0,0
1,4,9,1579,6,28,78,1,0,0,0
1,4,9,1579,6,29,102,1,0,0,0
1,4,9,1579,33,391,0,0,81,0,0
1,4,9,1590,6,30,90,1,81,0,0
1,4,9,1590,6,28,78,1,0,0,0
1,4,9,1590,6,29,102,1,0,0,0
1,4,9,1590,33,391,0,0,81,0,0
1,4,9,1627,15,31,150,2,42,0,0
1,4,9,1627,45,628,0,0,42,0,0
1,4,9,1638,15,30,150,2,41,0,0
1,4,9,1638,15,28,138,2,0,0,0
1,4,9,1638,15,29,162,2,0,0,0
1,4,9,1638,33,391,0,0,41,0,0
1,4,9,1649,15,30,150,2,41,0,0
1,4,9,1649,15,28,138,2,0,0,0
1,4,9,1649,15,29,162,2,0,0,0
1,4,9,1649,33,391,0,0,41,0,0
1,4,9,1660,15,30,150,2,41,0,0
1,4,9,1660,15,28,138,2,0,0,0
1,4,9,1660,15,29,162,2,0,0,0
1,4,9,1660,33,391,0,0,41,0,0
1,4,9,1680,15,24,-10,0,1,0,0
1,4,9,1680,20,0,0,0,1,0,0
1,4,9,1700,20,10,0,0,1,0,0
1,4,9,1710,15,25,290,0,2,0,0
1,4,9,1710,20,0,0,0,2,0,0
1,4,9,1730,20,-10,0,0,2,0,0
1,4,9,1740,15,24,-10,0,3,0,0
1,4,9,1740,20,0,0,0,3,0,0
1,4,9,1740,20,10,0,0,3,0,0
1,4,9,1760,15,24,-10,0,4,0,0
1,4,9,1760,20,0,0,0,4,0,0
1,4,9,1760,20,10,0,0,4,0,0
1,4,9,1780,15,25,290,0,5,0,0
1,4,9,1780,20,0,0,0,5,0,0
1,4,9,1780,20,-10,0,0,5,0,0
1,4,9,1800,15,25,290,0,6,0,0
1,4,9,1800,20,0,0,0,6,0,0
1,4,9,1800,20,-10,0,0,6,0,0
1,4,9,1857,15,31,90,2,82,0,0
1,4,9,1857,45,603,0,0,82,0,0
1,4,9,1868,6,524,306,0,30,-28,0
1,4,9,1868,6,525,258,0,30,0,0
1,4,9,1868,6,526,282,0,30,0,0
1,4,9,1868,6,527,306,0,30,0,0
1,4,9,1868,6,522,258,0,30,-28,0
1,4,9,1868,6,523,282,0,30,-28,0
1,4,9,1868,15,30,90,2,81,0,0
1,4,9,1868,15,28,78,2,0,0,0
1,4,9,1868,15,29,102,2,0,0,0
1,4,9,1868,33,391,0,0,81,0,0
1,4,9,1879,15,30,90,2,81,0,0
1,4,9,1879,15,28,78,2,0,0,0
1,4,9,1879,15,29,102,2,0,0,0
1,4,9,1879,33,391,0,0,81,0,0
1,4,9,1890,15,30,90,2,81,0,0
1,4,9,1890,15,28,78,2,0,0,0
1,4,9,1890,15,29,102,2,0,0,0
1,4,9,1890,33,391,0,0,81,0,0
1,4,9,1927,15,31,150,2,62,0,0
1,4,9,1927,33,513,0,0,62,0,0
1,4,9,1927,45,628,0,0,62,0,0
1,4,9,1938,15,30,150,2,61,0,0
1,4,9,1938,15,28,138,2,0,0,0
1,4,9,1938,15,29,162,2,0,0,0
1,4,9,1938,33,391,0,0,61,0,0
1,4,9,1949,15,30,150,2,61,0,0
1,4,9,1949,15,28,138,2,0,0,0
1,4,9,1949,15,29,162,2,0,0,0
1,4,9,1949,33,391,0,0,61,0,0
1,4,9,1960,15,30,150,2,61,0,0
1,4,9,1960,15,28,138,2,0,0,0
1,4,9,1960,15,29,162,2,0,0,0
1,4,9,1960,33,391,0,0,61,0,0
1,4,9,2000,15,31,80,4,42,0,0
1,4,9,2000,15,30,80,4,41,-24,0
1,4,9,2000,15,30,80,4,41,-48,0
1,4,9,2000,15,30,80,4,41,-72,0
1,4,9,2007,33,391,0,0,41,-72,0
1,4,9,2030,15,31,170,4,82,0,0
1,4,9,2030,15,30,170,4,81,-24,0
1,4,9,2030,15,30,170,4,81,-48,0
1,4,9,2030,15,30,170,4,81,-72,0
1,4,9,2037,33,391,0,0,81,-72,0
1,4,9,2080,15,31,130,4,62,0,0
1,4,9,2080,15,30,130,4,61,-24,0
1,4,9,2080,15,30,130,4,61,-48,0
1,4,9,2080,15,30,130,4,61,-72,0
1,4,9,2087,33,391,0,0,61,-72,0
1,4,9,2095,7,31,92,0,189,0,0
1,4,9,2100,7,30,92,0,182,0,0
1,4,9,2100,7,26,80,0,11,0,0
1,4,9,2100,7,27,104,0,12,0,0
1,4,9,2100,33,394,0,0,182,0,0
1,4,9,2120,19,-2,-2,0,11,0,0
1,4,9,2120,19,2,-2,0,12,0,0
1,4,9,2125,7,31,242,0,149,0,0
1,4,9,2130,7,30,242,0,143,0,0
1,4,9,2130,7,26,230,0,32,0,0
1,4,9,2130,7,27,254,0,33,0,0
1,4,9,2130,20,10,20,0,11,0,0
1,4,9,2130,20,-10,20,0,12,0,0
1,4,9,2130,33,394,0,0,143,0,0
1,4,9,2140,19,-2,-2,0,32,0,0
1,4,9,2140,19,2,-2,0,33,0,0
1,4,9,2150,20,10,20,0,32,0,0
1,4,9,2150,20,-10,20,0,33,0,0
1,4,9,2325,7,31,192,0,169,0,0
1,4,9,2330,7,30,192,0,163,0,0
